Batavia USD Balanced Asia (BAUSDBA),BAUSDBA:IJ,Open-End Fund,Conservative Allocation,http://www.bloomberg.com/quote/BAUSDBA:IJ
BNI Berkembang (BNIRBEI),BNIRBEI:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BNIRBEI:IJ
BNI Dana Berbunga Tiga (BNIBUTI),BNIBUTI:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BNIBUTI:IJ
BNI Dana Plus Syariah (BNIPSYA),BNIPSYA:IJ,Open-End Fund,Conservative Allocation,http://www.bloomberg.com/quote/BNIPSYA:IJ
BNI Dana Syariah (BNISYAR),BNISYAR:IJ,Open-End Fund,Aggregate Bond Intermediate,http://www.bloomberg.com/quote/BNISYAR:IJ
BNI-AM Dana Terencana (BNIAMDT),BNIAMDT:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BNIAMDT:IJ
BNI-AM Proteksi II (BNIPRT2),BNIPRT2:IJ,Closed-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/BNIPRT2:IJ
BNP Paribas Dolar Plus (BNPDOPL),BNPDOPL:IJ,Open-End Fund,Foreign Aggregate Bond,http://www.bloomberg.com/quote/BNPDOPL:IJ
BNP Paribas Ekuitas (CITEKUI),CITEKUI:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/CITEKUI:IJ
BNP Paribas Equitra (FOREQUI),FOREQUI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/FOREQUI:IJ
BNP Paribas Infrastruktur Plus (FORINPL),FORINPL:IJ,Open-End Fund,Industrial Sector,http://www.bloomberg.com/quote/FORINPL:IJ
BNP Paribas Inspira (BNPPISP),BNPPISP:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BNPPISP:IJ
BNP Paribas Integra (BNPINTG),BNPINTG:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BNPINTG:IJ
BNP Paribas Kapital V (FORKAP5),FORKAP5:IJ,Closed-End Fund,Government Long,http://www.bloomberg.com/quote/FORKAP5:IJ
BNP Paribas Kapital VI (FORKAP6),FORKAP6:IJ,Closed-End Fund,Government Long,http://www.bloomberg.com/quote/FORKAP6:IJ
BNP Paribas Maxi Obligasi (BNPMAOB),BNPMAOB:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BNPMAOB:IJ
BNP Paribas Obligasi Plus (FOROPLU),FOROPLU:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/FOROPLU:IJ
BNP Paribas Orion (BNPPION),BNPPION:IJ,Open-End Fund,Foreign Growth,http://www.bloomberg.com/quote/BNPPION:IJ
BNP Paribas Pesona (MFIPERI),MFIPERI:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/MFIPERI:IJ
BNP Paribas Prima Asia USD (BNPASUS),BNPASUS:IJ,Open-End Fund,Foreign Aggregate Bond,http://www.bloomberg.com/quote/BNPASUS:IJ
BNP Paribas Prima II (CITROB2),CITROB2:IJ,Open-End Fund,Government Bond,http://www.bloomberg.com/quote/CITROB2:IJ
BNP Paribas Prima USD (BNPPUSD),BNPPUSD:IJ,Open-End Fund,Foreign Aggregate Bond,http://www.bloomberg.com/quote/BNPPUSD:IJ
BNP Paribas Rupiah Plus II (CIRUPL2),CIRUPL2:IJ,Open-End Fund,Government Bond,http://www.bloomberg.com/quote/CIRUPL2:IJ
BNP Paribas Rupiah Plus (CIRUPLS),CIRUPLS:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/CIRUPLS:IJ
BNP Paribas Solaris Fund (FORSOLA),FORSOLA:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/FORSOLA:IJ
BNP Paribas Spektra (FORSPEK),FORSPEK:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/FORSPEK:IJ
BNP Paribas STAR (BNPPSTA),BNPPSTA:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/BNPPSTA:IJ
CIMB - Reksa Dana CIMB Bond Fund (CIMBINC),CIMBINC:IJ,Open-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/CIMBINC:IJ
CIMB Islamic Equity Growth Syariah (CIMBISL),CIMBISL:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/CIMBISL:IJ
CIMB Principal CPF-VII (CIMBVII),CIMBVII:IJ,Closed-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/CIMBVII:IJ
CIMB-Principal Balanced Growth (NIAGGUL),NIAGGUL:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/NIAGGUL:IJ
CIMB-Principal Balanced Focus I (CIMBBFI),CIMBBFI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/CIMBBFI:IJ
CIMB-Principal Cash Fund (CIMBPCF),CIMBPCF:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/CIMBPCF:IJ
CIMB-Principal CPF CB III (CIMBIII),CIMBIII:IJ,Closed-End Fund,General Corporate Bond,http://www.bloomberg.com/quote/CIMBIII:IJ
CIMB-Principal CPF CB IV (CIMBCIV),CIMBCIV:IJ,Closed-End Fund,Short Term Corporate Bond,http://www.bloomberg.com/quote/CIMBCIV:IJ
CIMB-Principal CPF CB VI (CIMBPB6),CIMBPB6:IJ,Closed-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/CIMBPB6:IJ
CIMB-Principal CPF CB IX (CIMBPB9),CIMBPB9:IJ,Closed-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/CIMBPB9:IJ
CIMB-Principal CPF CB XI (CCPCBXI),CCPCBXI:IJ,Closed-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/CCPCBXI:IJ
CIMB-Principal CPF CB XIII (CCBXIII),CCBXIII:IJ,Closed-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/CCBXIII:IJ
CIMB-Principal CPF XII (CIMCXII),CIMCXII:IJ,Closed-End Fund,Government Bond,http://www.bloomberg.com/quote/CIMCXII:IJ
CIMB-Principal Equity Aggressive (NIAGRES),NIAGRES:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/NIAGRES:IJ
